id,intervention_definition_id,probe_definition_id,note,position,created_at,updated_at,deleted_at,copied_at,copied_from
1054602571,6475,3534,,1,2009-08-05 14:22:00,2009-08-05 14:22:00,,,
1054602573,6474,3534,,1,2009-08-05 14:22:00,2009-08-05 14:22:00,,,
1054602575,6477,3534,,1,2009-08-05 14:22:00,2009-08-05 14:22:00,,,
1054602577,6476,3534,,1,2009-08-05 14:22:00,2009-08-05 14:22:00,,,
1054602579,6473,3534,,1,2009-08-05 14:22:00,2009-08-05 14:22:00,,,
1054602657,6472,3534,,2,2009-08-05 14:22:01,2009-08-05 14:22:01,,,
1054602572,6475,3535,,2,2009-08-05 14:22:00,2009-08-05 14:22:00,,,
1054602574,6474,3535,,2,2009-08-05 14:22:00,2009-08-05 14:22:00,,,
1054602576,6477,3535,,2,2009-08-05 14:22:00,2009-08-05 14:22:00,,,
1054602578,6476,3535,,2,2009-08-05 14:22:00,2009-08-05 14:22:00,,,
1054602580,6473,3535,,2,2009-08-05 14:22:00,2009-08-05 14:22:00,,,
1054602658,6472,3535,,3,2009-08-05 14:22:01,2009-08-05 14:22:01,,,
1054602629,6490,3536,,3,2009-08-05 14:22:01,2009-08-05 14:22:01,,,
1054602635,6491,3536,,3,2009-08-05 14:22:01,2009-08-05 14:22:01,,,
1054602628,6490,3537,,2,2009-08-05 14:22:01,2009-08-05 14:22:01,,,
1054602634,6491,3537,,2,2009-08-05 14:22:01,2009-08-05 14:22:01,,,
1054602632,6490,3538,,6,2009-08-05 14:22:01,2009-08-05 14:22:01,,,
1054602638,6491,3538,,6,2009-08-05 14:22:01,2009-08-05 14:22:01,,,
1054602627,6490,3539,,1,2009-08-05 14:22:01,2009-08-05 14:22:01,,,
1054602633,6491,3539,,1,2009-08-05 14:22:01,2009-08-05 14:22:01,,,
1054602630,6490,3540,,4,2009-08-05 14:22:01,2009-08-05 14:22:01,,,
1054602636,6491,3540,,4,2009-08-05 14:22:01,2009-08-05 14:22:01,,,
1054602631,6490,3541,,5,2009-08-05 14:22:01,2009-08-05 14:22:01,,,
1054602637,6491,3541,,5,2009-08-05 14:22:01,2009-08-05 14:22:01,,,
1054602584,6466,3542,,1,2009-08-05 14:22:00,2009-08-05 14:22:00,,,
1054602674,6467,3542,,2,2010-03-09 15:57:06,2010-03-09 15:57:06,,,
1054602675,6468,3542,,2,2010-03-09 15:57:06,2010-03-09 15:57:06,,,
1054602678,6460,3542,,1,2010-03-09 19:30:34,2010-03-09 19:30:34,,,
1054602581,6472,3543,,1,2009-08-05 14:22:00,2009-08-05 14:22:00,,,
1054602582,6467,3544,,1,2009-08-05 14:22:00,2009-08-05 14:22:00,,,
1054602583,6468,3545,,1,2009-08-05 14:22:00,2009-08-05 14:22:00,,,
1054602585,6458,3546,,1,2009-08-05 14:22:00,2009-08-05 14:22:00,,,
1054602586,6459,3546,,1,2009-08-05 14:22:00,2009-08-05 14:22:00,,,
1054602587,6461,3546,,1,2009-08-05 14:22:00,2009-08-05 14:22:00,,,
1054602588,6462,3546,,1,2009-08-05 14:22:00,2009-08-05 14:22:00,,,
1054602589,6463,3546,,1,2009-08-05 14:22:00,2009-08-05 14:22:00,,,
1054602590,6464,3546,,1,2009-08-05 14:22:00,2009-08-05 14:22:00,,,
1054602591,6465,3546,,1,2009-08-05 14:22:00,2009-08-05 14:22:00,,,
1054602595,6446,3547,,1,2009-08-05 14:22:00,2009-08-05 14:22:00,,,
1054602597,6447,3547,,1,2009-08-05 14:22:00,2009-08-05 14:22:00,,,
1054602599,6452,3547,,1,2009-08-05 14:22:00,2009-08-05 14:22:00,,,
1054602601,6453,3547,,1,2009-08-05 14:22:00,2009-08-05 14:22:00,,,
1054602603,6457,3547,,1,2009-08-05 14:22:00,2009-08-05 14:22:00,,,
1054602605,6448,3547,,1,2009-08-05 14:22:00,2009-08-05 14:22:00,,,
1054602607,6449,3547,,1,2009-08-05 14:22:00,2009-08-05 14:22:00,,,
1054602609,6450,3547,,1,2009-08-05 14:22:00,2009-08-05 14:22:00,,,
1054602611,6456,3547,,1,2009-08-05 14:22:01,2009-08-05 14:22:01,,,
1054602592,6455,3548,,1,2009-08-05 14:22:00,2009-08-05 14:22:00,,,
1054602593,6454,3548,,1,2009-08-05 14:22:00,2009-08-05 14:22:00,,,
1054602594,6451,3548,,1,2009-08-05 14:22:00,2009-08-05 14:22:00,,,
1054602596,6446,3548,,2,2009-08-05 14:22:00,2009-08-05 14:22:00,,,
1054602598,6447,3548,,2,2009-08-05 14:22:00,2009-08-05 14:22:00,,,
1054602600,6452,3548,,2,2009-08-05 14:22:00,2009-08-05 14:22:00,,,
1054602602,6453,3548,,2,2009-08-05 14:22:00,2009-08-05 14:22:00,,,
1054602604,6457,3548,,2,2009-08-05 14:22:00,2009-08-05 14:22:00,,,
